Authority Name,SNAC,LAid,Service Name,LGSL,LGIL,Service URL
Allerdale Borough Council,16UB,2,Find out about street lights,564,8,http://webapps.allerdale.gov.uk/moderngov/mgIssueHistoryHome.aspx?IId=64431
Allerdale Borough Council,16UB,2,Find out about road closures and diversions,570,8,http://www.allerdale.gov.uk/council-and-democracy/road-closure-orders.aspx
Allerdale Borough Council,16UB,2,Find out about dead animal removal,576,8,http://www.allerdale.gov.uk/environment-and-waste/street-cleansing/animals---dead.aspx
Allerdale Borough Council,16UB,2,Find out about dog fouling,577,8,http://www.allerdale.gov.uk/environment-and-waste/environmental-health/environmental-wardens/dog-issues/dog-fouling.aspx
Allerdale Borough Council,16UB,2,Find out about graffiti problems,584,8,http://www.allerdale.gov.uk/environment-and-waste/street-cleansing/graffiti.aspx
Allerdale Borough Council,16UB,2,Find out about vandalism,586,8,http://www.allerdale.gov.uk/environment-and-waste/street-cleansing/vandalism.aspx
Allerdale Borough Council,16UB,2,Find out about flytipping,587,8,http://www.allerdale.gov.uk/environment-and-waste/recycling-rubbish-and-waste/fly-tipping.aspx
Allerdale Borough Council,16UB,2,Find out about flyposting,588,8,http://www.allerdale.gov.uk/environment-and-waste/street-cleansing/fly-posting.aspx
Allerdale Borough Council,16UB,2,Find out about dangerous buildings and structures,600,8,http://www.allerdale.gov.uk/planning-and-buildings/building-control/dangerous-structures-and-publi.aspx
Allerdale Borough Council,16UB,2,Find out about nuisance caused by demolition work,603,8,http://www.allerdale.gov.uk/planning-and-buildings/building-control/demolitions.aspx
Allerdale Borough Council,16UB,2,Find out about personal searches of local land charges,610,8,http://www.allerdale.gov.uk/planning-and-buildings/land-and-premises/land-charges.aspx
Allerdale Borough Council,16UB,2,Find a tourist information centre,623,8,http://www.allerdale.gov.uk/leisure-and-culture/tourism-and-travel/tourist-information-centres.aspx
Allerdale Borough Council,16UB,2,Find out about leisure activities for older people,640,8,http://www.allerdale.gov.uk/leisure-and-culture/sport-and-recreation/sports-development/community-activities/activities-for-older-people.aspx
Allerdale Borough Council,16UB,2,Find out about sports facilities,644,8,http://www.allerdale.gov.uk/leisure-and-culture/sports-clubs-and-centres/allerdale-leisure-facilities.aspx
Allerdale Borough Council,16UB,2,Find out about licences - private clubs,646,8,http://www.allerdale.gov.uk/business/licences-and-street-trading/licence---premises-clubs.aspx
Allerdale Borough Council,16UB,2,Find out about licences - street collection,647,8,http://www.allerdale.gov.uk/business/licences-and-street-trading/licence---collections.aspx
Allerdale Borough Council,16UB,2,Find out about licences - house to house collection ,648,8,http://www.allerdale.gov.uk/business/licences-and-street-trading/licence---collections.aspx
Allerdale Borough Council,16UB,2,Find out about advice for tenants and landlords in the private sector,652,8,http://www.allerdale.gov.uk/advice-and-benefits/housing-advice.aspx
Allerdale Borough Council,16UB,2,Find out about gypsy and traveller sites,655,8,http://www.allerdale.gov.uk/environment-and-waste/travelling-people.aspx
Allerdale Borough Council,16UB,2,Find out about blocked drains,664,8,http://www.allerdale.gov.uk/advice-and-benefits/emergency-helplines.aspx
Allerdale Borough Council,16UB,2,Find out about play facilities in the community,670,8,http://www.allerdale.gov.uk/environment-and-waste/parks-and-open-spaces/playgrounds.aspx
Allerdale Borough Council,16UB,2,Find out about a council funeral,671,8,http://www.allerdale.gov.uk/community-and-living/deaths-funerals-and-cremation/council-funerals.aspx
Allerdale Borough Council,16UB,2,Find out about registration - tattooists piercing and electrolysis,680,8,http://www.allerdale.gov.uk/business/licences-and-street-trading/licence---tattoo-piercing-and.aspx
Allerdale Borough Council,16UB,2,Find out about: Licences - riding establishment,696,8,http://www.allerdale.gov.uk/business/licences-and-street-trading/licence---riding-establishment.aspx
Allerdale Borough Council,16UB,2,Find out about: Licenses - zoos,699,8,http://www.allerdale.gov.uk/business/licences-and-street-trading/licence---zoo.aspx
Allerdale Borough Council,16UB,2,Find out about  cooling tower registration  ,707,8,http://www.allerdale.gov.uk/business/health-and-safety/cooling-towers--evaporative-c.aspx
Allerdale Borough Council,16UB,2,Find out about local council meetings,719,8,http://webapps.allerdale.gov.uk/moderngov/ieDocHome.asp
Allerdale Borough Council,16UB,2,Find out about election results,721,8,http://www.allerdale.gov.uk/council-and-democracy/councillors-democracy-election/elections/election-results-2007.aspx
Allerdale Borough Council,16UB,2,Find out about freedom of information requests,722,8,http://www.allerdale.gov.uk/council-and-democracy/data-protection-and-freedom-of.aspx
Allerdale Borough Council,16UB,2,Find out about holiday accommodation,734,8,http://www.allerdale.gov.uk/leisure-and-culture/tourism-and-travel/tourist-accommodation.aspx
Allerdale Borough Council,16UB,2,Find out about: Licences - pleasure boats,739,8,http://www.allerdale.gov.uk/business/licences-and-street-trading/licence---pleasure-craft.aspx
Allerdale Borough Council,16UB,2,Find out about licences - caravan sites,743,8,http://www.allerdale.gov.uk/business/licences-and-street-trading/licence---caravan-sites.aspx
Allerdale Borough Council,16UB,2,Find out about licences - entertainment,797,8,http://www.allerdale.gov.uk/business/licences-and-street-trading/licence---premises-clubs.aspx
Allerdale Borough Council,16UB,2,Find out about local arts events,838,8,http://www.allerdale.gov.uk/leisure-and-culture/venues.aspx
Allerdale Borough Council,16UB,2,Find out about hazardous waste collection,850,8,http://www.allerdale.gov.uk/environment-and-waste/recycling-rubbish-and-waste/hazardous-waste-collection.aspx
Allerdale Borough Council,16UB,2,Find out about recycling,851,8,http://www.allerdale.gov.uk/environment-and-waste/recycling-rubbish-and-waste.aspx
Allerdale Borough Council,16UB,2,Find out about Local Development Frameworks,856,8,http://www.allerdale.gov.uk/planning-and-buildings/planning/planning-policy/local-development-framework.aspx
Allerdale Borough Council,16UB,2,Find out about collection of clinical waste,859,8,http://www.allerdale.gov.uk/environment-and-waste/recycling-rubbish-and-waste/clinical-waste-disposal.aspx
Allerdale Borough Council,16UB,2,Find out about licences: alcohol and entertainment - premises ,860,8,http://www.allerdale.gov.uk/business/licences-and-street-trading/licence---personal-licence.aspx
Allerdale Borough Council,16UB,2,Find out about registration - motor salvage operator,866,8,http://www.allerdale.gov.uk/
Allerdale Borough Council,16UB,2,Find out about local consultations,867,8,http://www.allerdale.gov.uk/council-and-democracy/performance/consultation.aspx
Allerdale Borough Council,16UB,2,Find out about community safety,870,8,http://www.allerdale.gov.uk/housing/community-safety.aspx
Allerdale Borough Council,16UB,2,Find out about civil partnerships,876,8,http://www.allerdale.gov.uk/life-events/getting-married.aspx
Allerdale Borough Council,16UB,2,Find out about licences - alcohol and entertainment - temporary event,1071,8,http://www.allerdale.gov.uk/business/licences-and-street-trading/licence---personal-licence.aspx
Allerdale Borough Council,16UB,2,Regulation of licences - alcohol and entertainment - temporary event,1071,9,http://www.culture.gov.uk/what_we_do/alcohol_and_entertainment/default.aspx
Allerdale Borough Council,16UB,2,Find out about Environmental permitting,1210,8,http://www.allerdale.gov.uk/
Allerdale Borough Council,16UB,2,Get local information about swine flu,1287,8,http://www.allerdale.gov.uk/community-and-living/infectious-diseases.aspx
Allerdale Borough Council,16UB,2,Find out about food premises - approval ,1293,8,http://www.allerdale.gov.uk/environment-and-waste/environmental-health/food-safety/starting-a-food-business.aspx
Allerdale Borough Council,16UB,2,Find out about registration - therapist - massage and special treatments,1294,8,http://www.allerdale.gov.uk/business/licences-and-street-trading/licence---massage-and-special.aspx
Allerdale Borough Council,16UB,2,Get local information on services disrupted by severe weather,1307,8,http://www.allerdale.gov.uk/environment-and-waste/severe-weather-disruption.aspx
Allerdale Borough Council,16UB,2,Find out about details of council expenditure over £500,1465,8,http://www.allerdale.gov.uk/council-and-democracy/council-budgets-and-spending/payments-over-%c2%a3500.aspx
Allerdale Borough Council,16UB,2,Find out how to hold a street party,1580,8,http://www.allerdale.gov.uk/council-and-democracy/council-news/news-releases.aspx?prid=1468&period=allnews
Allerdale Borough Council,16UB,2,Find out when you can check the accounts at  your council,1584,8,http://www.allerdale.gov.uk/downloads/Audit_of_accounts_advert_June_2011.pdf
Amber Valley Borough Council,17UB,4,Pay your council tax,57,2,http://www.ambervalley.gov.uk/advice-and-benefits/council-tax/paying-your-bill.aspx
Amber Valley Borough Council,17UB,4,Find out more about council tax,57,8,http://www.ambervalley.gov.uk/Advice-and-Benefits/Council-Tax.aspx
Amber Valley Borough Council,17UB,4,Request e-billing for council tax,58,2,http://www.ambervalley.gov.uk/advice-and-benefits/council-tax/paying-your-bill.aspx
Amber Valley Borough Council,17UB,4,Find out about your council tax account,58,8,http://www.ambervalley.gov.uk/advice-and-benefits/council-tax/how-much-do-i-pay.aspx
Amber Valley Borough Council,17UB,4,Find out about discounts on council tax,59,8,http://www.ambervalley.gov.uk/advice-and-benefits/council-tax/discounts-for-council-tax.aspx
Amber Valley Borough Council,17UB,4,Apply for an exemption from council tax,60,0,http://www.ambervalley.gov.uk/advice-and-benefits/council-tax/council-tax-exemptions.aspx
Amber Valley Borough Council,17UB,4,Find out about exemptions from council tax,60,8,http://www.ambervalley.gov.uk/advice-and-benefits/council-tax/council-tax-exemptions.aspx
Amber Valley Borough Council,17UB,4,Apply for a council tax band reduction,61,0,http://www.ambervalley.gov.uk/advice-and-benefits/council-tax/council-tax-banding.aspx
Amber Valley Borough Council,17UB,4,Find out about council tax band reductions,61,8,http://www.ambervalley.gov.uk/advice-and-benefits/council-tax/council-tax-banding.aspx
Amber Valley Borough Council,17UB,4,Find out about backdating of council tax benefit claims,62,8,http://www.ambervalley.gov.uk/advice-and-benefits/benefits/council-tax-benefit/how-to-claim-council-tax-benefit.aspx
Amber Valley Borough Council,17UB,4,Find out about council tax benefit,63,8,http://www.ambervalley.gov.uk/advice-and-benefits/benefits/council-tax-benefit.aspx
Amber Valley Borough Council,17UB,4,Report change of circumstances relating to council tax benefit,64,0,http://www.ambervalley.gov.uk/advice-and-benefits/council-tax/change-in-circumstances-or-change-of-address.aspx
Amber Valley Borough Council,17UB,4,Find out about changes in circumstances which affect council tax benefit claims,64,8,http://www.ambervalley.gov.uk/advice-and-benefits/benefits/council-tax-benefit.aspx
Amber Valley Borough Council,17UB,4,Appeal against a council tax benefit decision,65,0,http://www.ambervalley.gov.uk/advice-and-benefits/council-tax/how-to-appeal.aspx
Amber Valley Borough Council,17UB,4,Find out about appeals relating to council tax benefit decisions,65,8,http://www.ambervalley.gov.uk/advice-and-benefits/council-tax/how-to-appeal.aspx
Amber Valley Borough Council,17UB,4,Find out about backdating of housing benefit claims,68,8,http://www.ambervalley.gov.uk/advice-and-benefits/benefits/housing-benefit/how-to-claim-housing-benefit.aspx
Amber Valley Borough Council,17UB,4,Find out about housing benefit,69,8,http://www.ambervalley.gov.uk/advice-and-benefits/benefits/housing-benefit.aspx
Amber Valley Borough Council,17UB,4,Report a change in circumstances affecting housing benefit,70,0,http://www.ambervalley.gov.uk/advice-and-benefits/benefits/housing-benefit.aspx
Amber Valley Borough Council,17UB,4,Find out about appeals relating to housing benefit decisions,72,8,http://opengov.ambervalley.gov.uk/docarc/docviewer.aspx?docGuid=54adc39a3660464c84d74bd6560b6fe5
Amber Valley Borough Council,17UB,4,Find out about appealing against  a rehousing decision,90,8,http://www.ambervalley.gov.uk/housing/council-housing.aspx
Amber Valley Borough Council,17UB,4,Find out about community safety on council estates,99,8,http://www.ambervalley.gov.uk/housing/council-housing.aspx
Amber Valley Borough Council,17UB,4,Find out about home improvement renovation grants,135,8,http://www.ambervalley.gov.uk/housing/grants.aspx
Amber Valley Borough Council,17UB,4,Find out about disabled facilities grants,137,8,http://www.ambervalley.gov.uk/housing/disabled-facilities-grants.aspx
Amber Valley Borough Council,17UB,4,Find out about Housing - council - rechargeable repairs,146,8,http://www.ambervalley.gov.uk/housing/improvements-and-repairs.aspx
Amber Valley Borough Council,17UB,4,Find out about council safety inspections of homes in multiple occupation,150,8,http://www.ambervalley.gov.uk/business/health-and-safety/safety-inspections.aspx
Amber Valley Borough Council,17UB,4,Apply for an older person s bus pass,273,0,http://www.ambervalley.gov.uk/transport-and-streets/public-transport/bus-passes.aspx
Amber Valley Borough Council,17UB,4,Find out about older person s bus pass,273,8,http://www.ambervalley.gov.uk/transport-and-streets/public-transport/bus-passes.aspx
Amber Valley Borough Council,17UB,4,Locate parking bays for registered disabled drivers,274,34,http://www.ambervalley.gov.uk/transport-and-streets/parking/residents-and-disabled-parking.aspx
Amber Valley Borough Council,17UB,4,Find out about the disabled person's bus pass,280,8,http://www.ambervalley.gov.uk/transport-and-streets/public-transport/bus-passes.aspx
Amber Valley Borough Council,17UB,4,Tell Us Once : bereavement,321,33,http://www.derbyshire.gov.uk/community/births_marriages_deaths/deaths/
Amber Valley Borough Council,17UB,4,Apply for a job at your local council,337,0,http://www.ambervalley.gov.uk/jobs-and-careers/jobs.aspx
Amber Valley Borough Council,17UB,4,Find out about jobs at your local council,337,8,http://www.ambervalley.gov.uk/jobs-and-careers/jobs.aspx
Amber Valley Borough Council,17UB,4,Find out about business advice - miscellaneous payments,349,8,http://www.ambervalley.gov.uk/business/business-support-and-advice/advice-and-training.aspx
Amber Valley Borough Council,17UB,4,Regulation of  business advice - miscellaneous payments,349,9,http://www.ambervalley.gov.uk/business/business-support-and-advice/advice-and-training.aspx
Amber Valley Borough Council,17UB,4,Make a complaint about your local council,353,0,http://www.ambervalley.gov.uk/council-and-democracy/complaints.aspx
Amber Valley Borough Council,17UB,4,Find out about complaints procedure,353,8,"http://www.ambervalley.gov.uk/council-and-democracy/councillors,-democracy-and-elections/council-meetings/herbert-strutt-charity/complaints-procedure.aspx"
Amber Valley Borough Council,17UB,4,"Search council minutes, agendas and reports",354,8,"http://www.ambervalley.gov.uk/council-and-democracy/councillors,-democracy-and-elections/council-meetings.aspx"
Amber Valley Borough Council,17UB,4,Find out about councillors declaration of interest,355,8,"http://www.ambervalley.gov.uk/council-and-democracy/councillors,-democracy-and-elections/parish-and-town-councils/parish-councillors.aspx"
Amber Valley Borough Council,17UB,4,Find out about councillor advice surgeries,357,8,http://www.ambervalley.gov.uk/
Amber Valley Borough Council,17UB,4,Find out about your local councillors,358,8,"http://www.ambervalley.gov.uk/council-and-democracy/councillors,-democracy-and-elections/borough-councillor-lookup.aspx"
Amber Valley Borough Council,17UB,4,Find out local council news,359,8,http://www.ambervalley.gov.uk/council-and-democracy/council-news.aspx
Amber Valley Borough Council,17UB,4,Apply for a proxy vote,361,0,"http://www.ambervalley.gov.uk/council-and-democracy/councillors,-democracy-and-elections/elections/proxy-voting.aspx"
Amber Valley Borough Council,17UB,4,Find out about proxy votes,361,8,"http://www.ambervalley.gov.uk/council-and-democracy/councillors,-democracy-and-elections/elections/proxy-voting.aspx"
Amber Valley Borough Council,17UB,4,Find out about elections,362,8,"http://www.ambervalley.gov.uk/council-and-democracy/councillors,-democracy-and-elections/elections.aspx"
Amber Valley Borough Council,17UB,4,Find out about the electoral register,364,8,"http://www.ambervalley.gov.uk/council-and-democracy/councillors,-democracy-and-elections/elections.aspx"
Amber Valley Borough Council,17UB,4,Report an abandoned vehicle ,372,0,http://www.ambervalley.gov.uk/environment-and-planning/abandoned-vehicles.aspx
Amber Valley Borough Council,17UB,4,Find out about licences - boarding animals,374,8,http://www.ambervalley.gov.uk/community-and-living/animal-welfare.aspx
Amber Valley Borough Council,17UB,4,Regulation of licences - boarding animals,374,9,http://www.ambervalley.gov.uk/community-and-living/animal-welfare.aspx
Amber Valley Borough Council,17UB,4,Find out about : Licences - pet shops,375,8,http://www.ambervalley.gov.uk/business/licences-and-street-trading/pet-shop-licences.aspx
Amber Valley Borough Council,17UB,4,Regulation of licences - pet shops,375,9,http://www.ambervalley.gov.uk/business/licences-and-street-trading/pet-shop-licences.aspx
Amber Valley Borough Council,17UB,4,Application to renew a licence - pet shops,375,14,http://www.ambervalley.gov.uk/business/licences-and-street-trading/pet-shop-licences.aspx
Amber Valley Borough Council,17UB,4,Find out about: Registration - scrap metal - site registration,378,8,http://www.ambervalley.gov.uk/business/licences-and-street-trading/scrap-metal-dealers-act-1964.aspx
Amber Valley Borough Council,17UB,4,Regulation of registration - scrap metal - site registration,378,9,http://www.ambervalley.gov.uk/business/licences-and-street-trading/scrap-metal-dealers-act-1964.aspx
Amber Valley Borough Council,17UB,4,Find out about licences - sex shops,388,8,http://www.ambervalley.gov.uk/business/licences-and-street-trading/sex-establishments-licences.aspx
Amber Valley Borough Council,17UB,4,Regulation of licences - sex shops,388,9,http://www.ambervalley.gov.uk/business/licences-and-street-trading/sex-establishments-licences.aspx
Amber Valley Borough Council,17UB,4,Find out about food premises registration,390,8,http://www.ambervalley.gov.uk/health-and-social-care/food-safety/opening-a-food-business.aspx
Amber Valley Borough Council,17UB,4,Registration of food premises registration,390,9,http://www.ambervalley.gov.uk/health-and-social-care/food-safety/opening-a-food-business.aspx
Amber Valley Borough Council,17UB,4,Find out about licences - street trading,400,8,http://www.ambervalley.gov.uk/business/licences-and-street-trading/street-trading-licences.aspx
Amber Valley Borough Council,17UB,4,Regulation of licences - street trading,400,9,http://www.ambervalley.gov.uk/business/licences-and-street-trading/street-trading-licences.aspx
Amber Valley Borough Council,17UB,4,Report a noise nuisance,412,0,http://www.ambervalley.gov.uk/environment-and-planning/pollution/statutory-nuisance-noise.aspx
Amber Valley Borough Council,17UB,4,Find out about Pollution control - noise,412,8,http://www.ambervalley.gov.uk/environment-and-planning/pollution/statutory-nuisance-noise.aspx
Amber Valley Borough Council,17UB,4,Find out about local air  pollution,413,8,http://www.ambervalley.gov.uk/environment-and-planning/pollution/air-pollution.aspx
Amber Valley Borough Council,17UB,4,Find out about asbestos removal,415,8,http://www.ambervalley.gov.uk/environment-and-planning/pollution/asbestos.aspx
Amber Valley Borough Council,17UB,4,Find out about contaminated land,418,8,http://www.ambervalley.gov.uk/environment-and-planning/pollution/land-contamination.aspx
Amber Valley Borough Council,17UB,4,Report discarded syringes,428,0,http://www.ambervalley.gov.uk/transport-and-streets/street-care-and-cleaning/litter-control-and-bins.aspx
Amber Valley Borough Council,17UB,4,Find out about Safety - syringes - disposal,428,8,http://www.ambervalley.gov.uk/transport-and-streets/street-care-and-cleaning/litter-control-and-bins.aspx
Amber Valley Borough Council,17UB,4,Report a pest problem,431,0,http://www.ambervalley.gov.uk/environment-and-planning/pest-control.aspx
Amber Valley Borough Council,17UB,4,Find out about pest control,431,8,http://www.ambervalley.gov.uk/environment-and-planning/pest-control.aspx
Amber Valley Borough Council,17UB,4,Report a stray dog,432,0,http://www.ambervalley.gov.uk/environment-and-planning/dog-control/lost-dogs.aspx
Amber Valley Borough Council,17UB,4,Find out about the dog warden service,432,8,http://www.ambervalley.gov.uk/environment-and-planning/dog-control/dog-fouling.aspx
Amber Valley Borough Council,17UB,4,Find out about renovation grants,433,8,http://www.ambervalley.gov.uk/housing/grants.aspx
Amber Valley Borough Council,17UB,4,Find out about infectious diseases,435,8,http://www.ambervalley.gov.uk/community-and-living/infectious-diseases.aspx
Amber Valley Borough Council,17UB,4,Apply for a parking permit,474,0,http://www.ambervalley.gov.uk/transport-and-streets/parking/car-parking-permits.aspx
Amber Valley Borough Council,17UB,4,Find out about parking permits,474,8,http://www.ambervalley.gov.uk/transport-and-streets/parking/car-parking-permits.aspx
Amber Valley Borough Council,17UB,4,Find out about council car parks,478,8,http://www.ambervalley.gov.uk/transport-and-streets/parking/car-parking-permits.aspx
Amber Valley Borough Council,17UB,4,Find out about planning permission,485,8,http://www.ambervalley.gov.uk/environment-and-planning/planning/development-management/planning-applications.aspx
Amber Valley Borough Council,17UB,4,Find out about crime prevention in town centres,497,8,http://www.ambervalley.gov.uk/community-and-living/crime-prevention.aspx
Amber Valley Borough Council,17UB,4,Find out more about building regulations,499,8,http://www.ambervalley.gov.uk/Environment-and-Planning/Building-Control.aspx
Amber Valley Borough Council,17UB,4,Apply for permission to work on a protected tree,508,0,http://www.ambervalley.gov.uk/environment-and-planning/trees-and-hedgerows.aspx
Amber Valley Borough Council,17UB,4,Find out about tree preservation orders,508,8,http://www.ambervalley.gov.uk/environment-and-planning/trees-and-hedgerows.aspx
Amber Valley Borough Council,17UB,4,Find out about allotments,510,8,"http://www.ambervalley.gov.uk/council-and-democracy/councillors,-democracy-and-elections/parish-and-town-councils.aspx"
Amber Valley Borough Council,17UB,4,Find out about carrying out works on a property in a conservation area,512,8,http://www.ambervalley.gov.uk/environment-and-planning/planning/community-planning/conservation-areas.aspx
Amber Valley Borough Council,17UB,4,Find out about street naming and numbering,513,8,"http://www.ambervalley.gov.uk/transport-and-streets/roads,-highways-and-pavements/street-naming-and-numbering.aspx"
Amber Valley Borough Council,17UB,4,Find out about listed buildings,514,8,http://www.ambervalley.gov.uk/environment-and-planning/planning/community-planning/listed-buildings.aspx
Amber Valley Borough Council,17UB,4,Search the register of planning decisions,516,8,http://www.ambervalley.gov.uk/environment-and-planning/planning/development-management/planning-applications/view-a-planning-application.aspx
Amber Valley Borough Council,17UB,4,Find out which day the refuse is collected ,524,8,http://www.ambervalley.gov.uk/utilities/my-property.aspx
Amber Valley Borough Council,17UB,4,Find out about domestic bins,526,8,"http://www.ambervalley.gov.uk/environment-and-planning/recycling,-rubbish-and-waste/household-refuse-and-recycling-collections.aspx"
Amber Valley Borough Council,17UB,4,Apply for a special collection for large items,528,0,"http://www.ambervalley.gov.uk/environment-and-planning/recycling,-rubbish-and-waste/large-or-bulky-waste-collections.aspx"
Amber Valley Borough Council,17UB,4,Find out about special collections for large items,528,8,"http://www.ambervalley.gov.uk/environment-and-planning/recycling,-rubbish-and-waste/large-or-bulky-waste-collections.aspx"
Amber Valley Borough Council,17UB,4,Find out about disposing of garden waste,530,8,"http://www.ambervalley.gov.uk/environment-and-planning/recycling,-rubbish-and-waste/garden-waste-collection.aspx"
Amber Valley Borough Council,17UB,4,Find out more about recycling collections,533,8,"http://www.ambervalley.gov.uk/environment-and-planning/recycling,-rubbish-and-waste/household-refuse-and-recycling-collections.aspx"
Amber Valley Borough Council,17UB,4,Find your nearest recycling centre,534,8,"http://www.ambervalley.gov.uk/environment-and-planning/recycling,-rubbish-and-waste/recycling-sites-and-centres.aspx"
Amber Valley Borough Council,17UB,4,Find out about street furniture,559,8,http://www.ambervalley.gov.uk/environment-and-planning/fly-tipping.aspx
Amber Valley Borough Council,17UB,4,Report a dead animal,576,0,"http://www.ambervalley.gov.uk/transport-and-streets/roads,-highways-and-pavements/road-cleaning-and-spillages.aspx"
Amber Valley Borough Council,17UB,4,Find out about dead animal removal,576,8,"http://www.ambervalley.gov.uk/transport-and-streets/roads,-highways-and-pavements/road-cleaning-and-spillages.aspx"
Amber Valley Borough Council,17UB,4,Report a dog fouling problem,577,0,http://www.ambervalley.gov.uk/environment-and-planning/dog-control/dog-fouling.aspx
Amber Valley Borough Council,17UB,4,Find out about dog fouling,577,8,http://www.ambervalley.gov.uk/environment-and-planning/dog-control/dog-fouling.aspx
Amber Valley Borough Council,17UB,4,Report a litter problem,580,0,http://www.ambervalley.gov.uk/transport-and-streets/street-care-and-cleaning/litter-control-and-bins.aspx
Amber Valley Borough Council,17UB,4,Find out about street cleaning,580,8,http://www.ambervalley.gov.uk/Transport-and-Streets/Street-Care-and-Cleaning.aspx
Amber Valley Borough Council,17UB,4,Report a graffiti problem,584,0,http://www.ambervalley.gov.uk/transport-and-streets/street-care-and-cleaning/graffiti-removal.aspx
Amber Valley Borough Council,17UB,4,Find out about graffiti problems,584,8,http://www.ambervalley.gov.uk/transport-and-streets/street-care-and-cleaning/graffiti-removal.aspx
Amber Valley Borough Council,17UB,4,Report vandalism,586,0,http://www.ambervalley.gov.uk/environment-and-planning/land-and-premises/council-buildings/council-land-and-property.aspx
Amber Valley Borough Council,17UB,4,Report flytipping,587,0,http://www.ambervalley.gov.uk/environment-and-planning/fly-tipping.aspx
Amber Valley Borough Council,17UB,4,Find out about flytipping,587,8,http://www.ambervalley.gov.uk/environment-and-planning/fly-tipping.aspx
Amber Valley Borough Council,17UB,4,Find out about flyposting,588,8,http://www.ambervalley.gov.uk/environment-and-planning/fly-posting.aspx
Amber Valley Borough Council,17UB,4,Report a road spillage,591,0,"http://www.ambervalley.gov.uk/transport-and-streets/roads,-highways-and-pavements/road-cleaning-and-spillages.aspx"
Amber Valley Borough Council,17UB,4,Find out about spillages on the roads,591,8,"http://www.ambervalley.gov.uk/transport-and-streets/roads,-highways-and-pavements/road-cleaning-and-spillages.aspx"
Amber Valley Borough Council,17UB,4,Report a dangerous building or structure,600,0,http://www.ambervalley.gov.uk/environment-and-planning/building-control/dangerous-structures.aspx
Amber Valley Borough Council,17UB,4,Find out about dangerous buildings and structures,600,8,http://www.ambervalley.gov.uk/environment-and-planning/building-control/dangerous-structures.aspx
Amber Valley Borough Council,17UB,4,Find out about nuisance caused by demolition work,603,8,http://www.ambervalley.gov.uk/environment-and-planning/building-control/demolition.aspx
Amber Valley Borough Council,17UB,4,Find out about personal searches of local land charges,610,8,http://www.ambervalley.gov.uk/council-and-democracy/data-protection-and-freedom-of-information/freedom-of-information/services-provided-by-the-council.aspx
Amber Valley Borough Council,17UB,4,Find out about grants to local voluntary organisations,615,8,http://www.ambervalley.gov.uk/community-and-living/community-information/council-funding.aspx
Amber Valley Borough Council,17UB,4,Find out about Markets - stall rental,616,8,http://www.ambervalley.gov.uk/business/licences-and-street-trading/market-stall-licences.aspx
Amber Valley Borough Council,17UB,4,Regulation of markets - stall rental,616,9,http://www.ambervalley.gov.uk/business/licences-and-street-trading/market-stall-licences.aspx
Amber Valley Borough Council,17UB,4,Find a tourist information centre,623,8,http://www.ambervalley.gov.uk/Leisure-and-Culture/Tourism-and-Travel.aspx
Amber Valley Borough Council,17UB,4,Find out about leisure activities for older people,640,8,http://www.ambervalley.gov.uk/leisure-and-culture.aspx
Amber Valley Borough Council,17UB,4,Find out about sports clubs,641,8,http://www.ambervalley.gov.uk/leisure-and-culture/sports-clubs.aspx
Amber Valley Borough Council,17UB,4,Find out about youth clubs,642,8,http://www.ambervalley.gov.uk/health-and-social-care/youth-support.aspx
Amber Valley Borough Council,17UB,4,Find out about activities for young people,643,8,http://www.ambervalley.gov.uk/health-and-social-care/youth-support.aspx
Amber Valley Borough Council,17UB,4,Find out about sports facilities,644,8,http://www.ambervalley.gov.uk/leisure-and-culture/sports-clubs.aspx
Amber Valley Borough Council,17UB,4,Find out about licences - private clubs,646,8,http://www.ambervalley.gov.uk/business/licences-and-street-trading/liquor-licences-/club-premises-certificate.aspx
Amber Valley Borough Council,17UB,4,Regulation of licences - private clubs,646,9,http://www.ambervalley.gov.uk/business/licences-and-street-trading/liquor-licences-/club-premises-certificate.aspx
Amber Valley Borough Council,17UB,4,Find out about licences - street collection,647,8,http://www.ambervalley.gov.uk/business/licences-and-street-trading/street-collection-licence.aspx
Amber Valley Borough Council,17UB,4,Regulation of licences - street collection,647,9,http://www.ambervalley.gov.uk/business/licences-and-street-trading/street-collection-licence.aspx
Amber Valley Borough Council,17UB,4,Find out about licences - house to house collection ,648,8,http://www.ambervalley.gov.uk/business/licences-and-street-trading/house-to-house-collections.aspx
Amber Valley Borough Council,17UB,4,Regulation of licences - house to house collection ,648,9,http://www.ambervalley.gov.uk/business/licences-and-street-trading/house-to-house-collections.aspx
Amber Valley Borough Council,17UB,4,Find out about blocked drains,664,8,http://www.ambervalley.gov.uk/transport-and-streets/drainage-and-sewerage.aspx
Amber Valley Borough Council,17UB,4,Find out about play facilities in the community,670,8,http://www.ambervalley.gov.uk/leisure-and-culture/parks-and-gardens/playgrounds.aspx
Amber Valley Borough Council,17UB,4,Find out about licences - markets,679,8,http://www.ambervalley.gov.uk/leisure-and-culture/events/car-boot-sales-and-temporary-markets.aspx
Amber Valley Borough Council,17UB,4,regulation of licences - markets,679,9,http://www.ambervalley.gov.uk/leisure-and-culture/events/car-boot-sales-and-temporary-markets.aspx
